model,ensemble_runs,ensemble_reduction,scheduler,num_steps,overall_iou,overall_pixel_acc,overall_dice,overall_precision,overall_recall,overall_count,trained_iou,trained_pixel_acc,trained_dice,trained_count,other_iou,other_pixel_acc,other_dice,other_count
iter_008000,1,median,default,50,0.2988239667906504,0.8245329760917648,0.4601454460823266,0.6831204776317794,0.346911306504418,4870,0.6622981173305048,0.9124203679680541,0.7968463784271062,1263,0.16522804848665973,0.793758987752493,0.28359778792014095,3607
iter_018000,1,median,default,50,0.3463391158192262,0.8062953157836162,0.5144901633619763,0.5595757660561084,0.47612803160660955,4870,0.6641149383746306,0.9043861413322926,0.7981599384274298,1263,0.2409077103720283,0.771948569826317,0.38827659520272195,3607
iter_018000-trailing,1,median,trailing_ddim,1,0.2716299997470001,0.826358521009128,0.42721546330464494,0.7392679283741389,0.30040955402008573,4870,0.6636516624642297,0.9164263618813557,0.7978252628692925,1263,0.12641172368964548,0.7948210430436099,0.22445029828981974,3607
iter_018000-trailing,1,median,trailing_ddim,4,0.3463412802310134,0.8254092386860622,0.5144925515046023,0.6422040560621827,0.42914992278382547,4870,0.7174062925545494,0.9248351386305084,0.8354532013358891,1263,0.21714361456805992,0.7905950131163824,0.35680853429136195,3607
iter_018000-trailing,1,median,trailing_ddim,20,0.34111913779088593,0.8162334371641187,0.5087081798754779,0.6002973731695668,0.4413674132306804,4870,0.6964961555833022,0.9172734632816752,0.8210995978871848,1263,0.22046924446735092,0.7808540213098147,0.3612860307079188,3607
iter_008000,2,median,default,50,0.2686731529965116,0.825429603842984,0.42354983608177665,0.7348134552453651,0.2975212115184793,4870,0.6154173135495756,0.9034810221015888,0.7619298225760771,1263,0.13868125060908043,0.7980997060718119,0.2435822150139029,3607
iter_008000,4,median,default,50,0.27577378341399006,0.8243740120952379,0.4323239542922966,0.7128185992365598,0.3102430752035219,4870,0.6455548670143888,0.9104933508407097,0.7846044880723434,1263,0.13896126674895506,0.794219111946768,0.24401403420083875,3607
iter_008000,8,median,default,50,0.2902450174907704,0.8270423865660994,0.4499068216597033,0.7154690045166854,0.32811840231081935,4870,0.675665645700301,0.9178511226167777,0.8064444687208755,1263,0.1480118408574959,0.7952454823154739,0.2578576902951453,3607
iter_018000,2,median,default,50,0.3125171394882483,0.8166198675637373,0.4762103748376178,0.619583544880323,0.38672195470544524,4870,0.6405179326794537,0.906012757845748,0.7808728206137892,1263,0.20072063839120485,0.7853187252221294,0.3343336192840693,3607
iter_018000,4,median,default,50,0.3338834313670278,0.8179521172932775,0.5006186050678326,0.6124611199903296,0.4233161574354701,4870,0.6749025674743944,0.9135542814446552,0.8059006900826333,1263,0.21879338754394817,0.7844767822993242,0.3590327774666545,3607
iter_018000,8,median,default,50,0.3450354506118046,0.8185994494867032,0.5130503444423882,0.6088075342543513,0.443321819102197,4870,0.7012530074065922,0.9194769357181407,0.8243959062568708,1263,0.22477856790207298,0.7832769473768318,0.3670517655891006,3607
iter_008000,3,median,default,50,0.29421876885102566,0.825152074042287,0.4546662062585069,0.6937371072652716,0.3381390553082235,4870,0.6790122114430295,0.9170771498389406,0.8088234341779461,1263,0.1515805459220216,0.7929642806596494,0.2632565241898169,3607
iter_018000,3,median,default,50,0.3547645911729581,0.8136809777919761,0.5237287621546148,0.5832349780832095,0.4752409460644955,4870,0.6986081518260444,0.9159291434269148,0.8225654057706292,1263,0.23982953102986976,0.7778785288879209,0.38687500987438866,3607
iter_008000,5,median,default,50,0.299584064754115,0.8260168478963801,0.4610460729384169,0.6938110924981483,0.3452267713301488,4870,0.682135286314414,0.9187687370197601,0.8110349885222177,1263,0.16037167600579408,0.7935395437758287,0.27641432365502394,3607
iter_018000,5,median,default,50,0.3549376810250682,0.815046958218365,0.5239173520608603,0.588490898118264,0.4721135805260642,4870,0.7055154036402438,0.9193651013589528,0.8273339568020261,1263,0.23952553360121273,0.7785197015544996,0.3864793860362287,3607
iter_018000,1,median,default,20,0.34899440348965166,0.8018824324715553,0.5174141606323259,0.54472648380384,0.49270992274428926,4870,0.6424709595222978,0.8966970889226652,0.7823224584855447,1263,0.2531270476261346,0.7686828452528829,0.40399263283901926,3607
iter_018000,1,median,default,10,0.3394326616130352,0.7735590219987246,0.506830498226417,0.4776631113961585,0.5397916177854739,4870,0.5693263859563737,0.8636938323128912,0.7255678500676157,1263,0.2670558335324844,0.7419980945169413,0.4215375936322347,3607
iter_018000,1,median,default,15,0.3438463241868426,0.7842817216438435,0.5117345904784208,0.4996471855036341,0.5244213285600773,4870,0.600533580257576,0.8781258740881938,0.7504167206050514,1263,0.2624886132210778,0.7514219588112362,0.41582729613912595,3607
